N-1 Disturbance,Description
---------------,---------------
TRIP GENERATOR G01,This is an event where generator G01 is tripped at t=1.0
TRIP GENERATOR G02,This is an event where generator G02 is tripped at t=1.0
TRIP GENERATOR G03,This is an event where generator G03 is tripped at t=1.0
TRIP GENERATOR G04,This is an event where generator G04 is tripped at t=1.0
TRIP GENERATOR G05,This is an event where generator G05 is tripped at t=1.0
TRIP GENERATOR G06,This is an event where generator G06 is tripped at t=1.0
TRIP GENERATOR G07,This is an event where generator G07 is tripped at t=1.0
TRIP GENERATOR G08,This is an event where generator G08 is tripped at t=1.0
TRIP GENERATOR G09,This is an event where generator G09 is tripped at t=1.0
TRIP GENERATOR G10,This is an event where generator G10 is tripped at t=1.0
TRIP GENERATOR G11,This is an event where generator G11 is tripped at t=1.0
TRIP GENERATOR G12,This is an event where generator G12 is tripped at t=1.0
TRIP GENERATOR G13,This is an event where generator G13 is tripped at t=1.0
TRIP GENERATOR G14,This is an event where generator G14 is tripped at t=1.0
TRIP GENERATOR G15,This is an event where generator G15 is tripped at t=1.0
TRIP GENERATOR G16,This is an event where generator G16 is tripped at t=1.0
TRIP GENERATOR G17,This is an event where generator G17 is tripped at t=1.0
TRIP GENERATOR G18,This is an event where generator G18 is tripped at t=1.0
TRIP GENERATOR G19,This is an event where generator G19 is tripped at t=1.0
TRIP GENERATOR G20,This is an event where generator G20 is tripped at t=1.0
TRIP GENERATOR G21,This is an event where generator G21 is tripped at t=1.0
TRIP GENERATOR G22,This is an event where generator G22 is tripped at t=1.0
TRIP GENERATOR G23,This is an event where generator G23 is tripped at t=1.0
TRIP GENERATOR G24,This is an event where generator G24 is tripped at t=1.0
TRIP GENERATOR G25,This is an event where generator G25 is tripped at t=1.0
TRIP GENERATOR G26,This is an event where generator G26 is tripped at t=1.0
TRIP LINELN01,This is an event where line LN01 is tripped at t=1.0
TRIP LINELN02,This is an event where line LN02 is tripped at t=1.0
TRIP LINELN03,This is an event where line LN03 is tripped at t=1.0
TRIP LINELN04,This is an event where line LN04 is tripped at t=1.0
TRIP LINELN05,This is an event where line LN05 is tripped at t=1.0
TRIP LINELN06,This is an event where line LN06 is tripped at t=1.0
TRIP LINELN07,This is an event where line LN07 is tripped at t=1.0
TRIP LINELN08,This is an event where line LN08 is tripped at t=1.0
TRIP LINELN09,This is an event where line LN09 is tripped at t=1.0
TRIP LINELN10,This is an event where line LN10 is tripped at t=1.0
TRIP LINELN11,This is an event where line LN11 is tripped at t=1.0
TRIP LINELN12,This is an event where line LN12 is tripped at t=1.0
TRIP LINELN13,This is an event where line LN13 is tripped at t=1.0
TRIP LINELN14,This is an event where line LN14 is tripped at t=1.0
TRIP LINELN15,This is an event where line LN15 is tripped at t=1.0
TRIP LINELN16,This is an event where line LN16 is tripped at t=1.0
TRIP LINELN17,This is an event where line LN17 is tripped at t=1.0
TRIP LINELN18,This is an event where line LN18 is tripped at t=1.0
TRIP LINELN19,This is an event where line LN19 is tripped at t=1.0
TRIP LINELN20,This is an event where line LN20 is tripped at t=1.0
TRIP LINELN21,This is an event where line LN21 is tripped at t=1.0
TRIP LINELN22,This is an event where line LN22 is tripped at t=1.0
TRIP LINELN23,This is an event where line LN23 is tripped at t=1.0
TRIP LINELN24,This is an event where line LN24 is tripped at t=1.0
TRIP LINELN25,This is an event where line LN25 is tripped at t=1.0
TRIP LINELN26,This is an event where line LN26 is tripped at t=1.0
TRIP LINELN27,This is an event where line LN27 is tripped at t=1.0
TRIP LINELN28,This is an event where line LN28 is tripped at t=1.0
TRIP LINELN29,This is an event where line LN29 is tripped at t=1.0
TRIP LINELN30,This is an event where line LN30 is tripped at t=1.0
TRIP LINELN31,This is an event where line LN31 is tripped at t=1.0
TRIP LINELN32,This is an event where line LN32 is tripped at t=1.0
TRIP LINELN33,This is an event where line LN33 is tripped at t=1.0
TRIP LINELN34,This is an event where line LN34 is tripped at t=1.0
TRIP LINELN35,This is an event where line LN35 is tripped at t=1.0
TRIP LINELN36,This is an event where line LN36 is tripped at t=1.0
TRIP LINELN37,This is an event where line LN37 is tripped at t=1.0
TRIP LINELN38,This is an event where line LN38 is tripped at t=1.0
TRIP LINELN39,This is an event where line LN39 is tripped at t=1.0
